Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	
0	1760.328	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02323429	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	1.001208e-15	0	1.001208e-15	0	-471.9599	0	-471.9599	0	30531.45	77194.93	1	8554.591	0	0	0	0	0	0	0	0	
28	1760.328	3.45e+19	0	0	100000	1.97469344	1.078163e-05	8.137584e+23	6.521306e+23	6.521306e+23	0	1.579023e+23	3.725516e+21	5.91192e+22	4.737701e+22	4.737701e+22	0	1.147154e+22	2.706571e+20	0.00457816	5.91192e+23	4.737701e+23	4.737701e+23	0	1.147154e+23	2.706571e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.737558e+13	59321.27	1305935	4.404658e-08	4.147265e-15	6.035461e-23	0.07206112	0.5	0.0002918009	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02304343	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02530656	0	9.565881e-16	0	9.565881e-16	0	-472.6271	0	-472.6271	0	30536.19	77194.93	1	8555.92	0	0	0	0	0	0	0	0	
56	1760.328	3.45e+19	0	0	100000	1.97438688	1.123049e-05	1.627517e+24	1.415902e+24	9.794723e+22	1.317954e+24	2.067235e+23	4.891753e+21	1.182384e+23	1.028646e+23	7.115825e+21	9.574881e+22	1.501838e+22	3.553838e+20	0.003005654	1.182384e+24	1.028646e+24	7.115825e+22	9.574881e+23	1.352016e+23	3.200272e+21	1.533576e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	3.671656e+16	1.523189e+24	6.885648e+23	3.674273e+18	6.885611e+23	3.686256e+23	1.16706e+11	3.686256e+23	1.37713e+24	2.19984e+11	1.37713e+24	4.103568e+23	9.537999e+11	4.103568e+23	1.314533e+24	2.249436e+18	1.314531e+24	1.326215e+24	0	0	1.517857e+13	89449.16	4226056	6.375915e-08	8.690054e-15	1.830634e-22	0.1319026	0.5	0.0007422578	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02288079	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02561312	0	9.144023e-16	0	9.144023e-16	0	-473.2872	0	-473.2872	0	30540.93	77194.93	1.143372	8557.248	1.106061	1	0	0.4524025	1	2	0	0	
84	1760.328	3.45e+19	0	0	100000	1.97408032	1.140862e-05	2.441275e+24	2.164179e+24	1.48663e+23	2.015516e+24	2.703232e+23	6.773151e+21	1.773576e+23	1.572267e+23	1.08003e+22	1.464264e+23	1.963887e+22	4.920665e+20	0.002774432	1.773576e+24	1.572267e+24	1.08003e+23	1.464264e+24	1.739483e+23	4.357398e+21	2.300364e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	4.333501e+16	2.284783e+24	1.032847e+24	4.798705e+18	1.032842e+24	5.529384e+23	1.50601e+11	5.529384e+23	2.065694e+24	2.838743e+11	2.065694e+24	6.155352e+23	1.230814e+12	6.155352e+23	1.971799e+24	2.902744e+18	1.971796e+24	1.326291e+24	2.595453e-10	9.713296e-05	1.31117e+13	137272.1	9245883	8.230194e-08	1.447964e-14	3.937351e-22	0.1898526	0.5	0.001357536	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02275626	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02591968	0	8.744947e-16	0	8.744947e-16	0	-473.9403	0	-473.9403	0	30545.67	77194.93	1.715057	8558.577	1.106061	1	0	0.4524028	1	2	0	0	
112	1760.328	3.45e+19	0	0	100000	1.97377376	1.140862e-05	3.255034e+24	2.914279e+24	1.449239e+23	2.769355e+24	3.297329e+23	1.102142e+22	2.364768e+23	2.117211e+23	1.052866e+22	2.011925e+23	2.395496e+22	8.007014e+20	0.003385962	2.364768e+24	2.117211e+24	1.052866e+23	2.011925e+24	2.098832e+23	7.00188e+21	3.067153e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	4.815086e+16	3.046378e+24	1.37713e+24	5.894619e+18	1.377124e+24	7.372512e+23	1.827864e+11	7.372512e+23	2.754259e+24	3.44542e+11	2.754259e+24	8.207136e+23	1.493855e+12	8.207136e+23	2.629066e+24	3.523099e+18	2.629062e+24	8.383557e+23	3.484231e-10	0.0001485381	1.126225e+13	194365.4	1.683367e+07	1.001986e-07	2.146152e-14	7.104909e-22	0.2417051	0.5	0.002104127	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02265978	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02622624	0	8.367204e-16	0	8.367204e-16	0	-474.5865	0	-474.5865	0	30550.42	77194.93	2.286742	8559.907	1.106061	1	0	0.452403	1	2	0	0	
140	1760.328	3.45e+19	0	0	100000	1.9734672	1.140862e-05	4.068792e+24	3.631051e+24	2.682912e+23	3.36276e+24	4.06742e+23	3.099884e+22	2.95596e+23	2.637943e+23	1.949124e+22	2.443031e+23	2.954963e+22	2.252053e+21	0.007618685	2.95596e+24	2.637943e+24	1.949124e+23	2.443031e+24	2.59859e+23	1.981837e+22	3.833942e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	5.660866e+16	3.807972e+24	1.721412e+24	7.654197e+18	1.721404e+24	9.21564e+23	2.345172e+11	9.21564e+23	3.442824e+24	4.420516e+11	3.442824e+24	1.025892e+24	1.916635e+12	1.025892e+24	3.286332e+24	4.52018e+18	3.286327e+24	7.298898e+23	4.058803e-10	0.0002044278	9.375846e+12	288490.8	3.081086e+07	1.223265e-07	3.198735e-14	1.292811e-21	0.2999084	0.5	0.003187378	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02256392	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0265328	0	8.009452e-16	0	8.009452e-16	0	-475.226	0	-475.226	0	30555.17	77194.93	2.858426	8561.237	1.106061	1	0	0.4524029	1	2	0	0	
168	1760.328	3.45e+19	0	0	100000	1.97316064	1.140862e-05	4.88255e+24	4.33023e+24	3.587148e+23	3.971515e+24	4.610813e+23	9.123882e+22	3.547152e+23	3.145894e+23	2.606047e+22	2.885289e+23	3.349736e+22	6.628461e+21	0.01868671	3.547152e+24	3.145894e+24	2.606047e+23	2.885289e+24	2.964056e+23	5.884532e+22	4.60073e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	6.386742e+16	4.569566e+24	2.065694e+24	9.529474e+18	2.065685e+24	1.105877e+24	2.884921e+11	1.105877e+24	4.131389e+24	5.437912e+11	4.131389e+24	1.23107e+24	2.357755e+12	1.23107e+24	3.943598e+24	5.560513e+18	3.943593e+24	6.712566e+23	4.452231e-10	0.0002481478	7.567256e+12	406162.4	5.571965e+07	1.487564e-07	4.730301e-14	2.324882e-21	0.357954	0.5	0.004626231	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0224687	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02683936	0	7.670447e-16	0	7.670447e-16	0	-475.859	0	-475.859	0	30559.91	77194.93	3.43011	8562.567	1.106061	1	0	0.4524028	1	2	0	0	
196	1760.328	3.45e+19	0	0	100000	1.97285408	1.140862e-05	5.696309e+24	5.015005e+24	4.457462e+23	4.569258e+24	4.996217e+23	1.816825e+23	4.138344e+23	3.643379e+23	3.238327e+22	3.319547e+23	3.62973e+22	1.319916e+22	0.03189478	4.138344e+24	3.643379e+24	3.238327e+23	3.319547e+24	3.232288e+23	1.180606e+23	5.367519e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	6.684425e+16	5.331161e+24	2.409977e+24	1.099608e+19	2.409966e+24	1.29019e+24	3.289249e+11	1.29019e+24	4.819954e+24	6.200048e+11	4.819954e+24	1.436249e+24	2.688201e+12	1.436249e+24	4.600865e+24	6.339832e+18	4.600858e+24	6.351251e+23	4.793609e-10	0.000293046	6.02836e+12	553768.5	9.492436e+07	1.7743e-07	6.729632e-14	3.94507e-21	0.4056865	0.5	0.006253771	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02237414	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02714592	0	7.349032e-16	0	7.349032e-16	0	-476.4855	0	-476.4855	0	30564.66	77194.93	4.001793	8563.898	1.106061	1	0	0.4524029	1	2	0	0	
224	1760.328	3.45e+19	0	0	100000	1.97254752	1.140862e-05	6.510067e+24	5.687478e+24	5.29617e+23	5.157861e+24	5.492839e+23	2.733052e+23	4.729536e+23	4.131928e+23	3.847645e+22	3.747164e+23	3.990524e+22	1.985551e+22	0.04198194	4.729536e+24	4.131928e+24	3.847645e+23	3.747164e+24	3.575319e+23	1.787325e+23	6.134311e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	6.715543e+16	6.092755e+24	2.754259e+24	1.216914e+19	2.754247e+24	1.474502e+24	3.596805e+11	1.474502e+24	5.508518e+24	6.779775e+11	5.508518e+24	1.641427e+24	2.939558e+12	1.641427e+24	5.258131e+24	6.932631e+18	5.258124e+24	6.061262e+23	5.101728e-10	0.0003371348	4.796855e+12	766826.2	1.523929e+08	2.076075e-07	9.21348e-14	6.3198e-21	0.4419573	0.5	0.007971645	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02228025	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02745248	0	7.04413e-16	0	7.04413e-16	0	-477.1056	0	-477.1056	0	30569.41	77194.93	4.573476	8565.229	1.106061	1	0	0.4524029	1	2	0	0	
252	1760.328	3.45e+19	0	0	100000	1.97224096	1.140862e-05	7.323826e+24	6.348268e+24	6.15295e+23	5.732973e+24	6.128597e+23	3.626979e+23	5.320728e+23	4.61199e+23	4.470092e+22	4.16498e+23	4.4524e+22	2.634985e+22	0.04952301	5.320728e+24	4.61199e+24	4.470092e+23	4.16498e+24	4.011942e+23	2.385333e+23	6.901098e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	6.806995e+16	6.85435e+24	3.098542e+24	1.357578e+19	3.098528e+24	1.658815e+24	3.964835e+11	1.658815e+24	6.197083e+24	7.473493e+11	6.197083e+24	1.846606e+24	3.240339e+12	1.846606e+24	5.915398e+24	7.641988e+18	5.91539e+24	5.8163e+23	5.385507e-10	0.000380553	3.801619e+12	1081801	2.389462e+08	2.410784e-07	1.242379e-13	9.895753e-21	0.4723051	0.5	0.009892487	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02218706	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02775904	0	6.754743e-16	0	6.754743e-16	0	-477.7196	0	-477.7196	0	30574.17	77194.93	5.145159	8566.561	1.106061	1	0	0.4524029	1	2	0	0	
