label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00185,2.0861690825621326,0.9113634808747118,0.6878687806578989,0.4897568715291652,0.18558430014125785,0.0021647457831585493,0.09745467862276987,5.683251632723778e-07,539876.5242320716,27912110829268.707,6.257843285538722e+19,0.9162700661661992,0.9148350547361735,0.20877831426449503,1.3754314737797624,2.677663355920184,0.5578999661402814,0.16202920498630197,2.8575707365809166,1.1461752835778207,78.49397908459521,1.4105852707300225e+19,1.4814269048856146e+19,1.2453830930546786e+19,-0.07537726223755614,3.196223095988594,3.9110413241271167,7.401422617452827e-05,0.0076755252843182025,0.0076755252843182025,12.0,22,0,4.2934800659537927e-19,3.417548021404278e-105,5.468870908167255e-86,2.981180558953894e-104,8.723156310555426,1.1577010078246637e-19,4.986931536006908e-19,1.8827559657204173e-20,700.0,800.0,1.35,106.09039477494031,138.531883311145,168.90027578071266,196.47791038692557,27.596415690345097,32.4414885362047,30.368392469567652,57.94602707578056,27.57763460621291,0.75,350.0,1.8519858541740084,1.4182865755577203,1.1632776173913275,2.8,68.66075454688661,65.49516622445915,54.209130578549676,0.6327051779037899,0.0491288907248178,59.754615542703505,84.88703949053428,83.68120192690448,78.97087941188542,53.42279698850186,22.531370250441768,3.998074901377598,23.827658337192602,27.234647205106324,38.48451580346217,90.43903741191737,91.04284351798754,32.92676883058552,8.45804817574009,9.65675374955898,13.605054019827083,35.138789926729444,61.66161877900101,78.44369483928473,capture_only,1.489107229166971,1.157331887261712,0.4386197448328732,0.001052816245671038,7.873893010223609e-05,0.5125627660643901,0.3984808607997859,0.008301524182853678,0.0007270949019174796,7.233722445089967e-05,1.0009234699809835,1.073434192379537,6.022479886753823,6.11285468317283,6.867733873155284,8.927204593933185,8.907948852357542,6.947034567424352,6.14234956766125,6.263563462736779,7.272969796934093,11.43011156058584,15.80628387565531,17.5581579221132,0.04088383574854871,0.07318440786843489,0.0050993869754775364,0.0,0.006134927537790414,0.16175402340548053,1.7181092804242095,185,TrialState.COMPLETE
capture_only_v5_codex_trial_00193,2.0880872784897577,0.8987225056120249,0.6980641642099833,0.48610662698008117,0.19366368607993886,0.0,0.10602978434183076,4.4334090650128294e-07,577672.4709513434,27767936795229.75,6.382631756197603e+19,1.2589803485140987,0.7783143716061401,0.20085262689352174,1.3733697427116038,2.514533910396611,0.6130063677076845,0.17296884446887753,2.7992239508869847,1.1779630600510453,76.47600486285668,1.494078649516187e+19,1.5724830888695835e+19,1.3076853195451013e+19,-0.0800827353119713,2.9927253368927293,3.995211781726142,8.354029981533672e-05,0.007869677581680671,0.007869677581680671,12.0,22,0,4.2934800659537927e-19,3.4514547072068786e-105,5.819204474991619e-86,3.1855878679495036e-104,9.22969628225969,1.1807868748965566e-19,4.260700634072207e-19,2.5875805019867673e-20,700.0,800.0,1.35,103.39448412128094,136.4232103324183,168.32325822444548,198.2743507616429,26.918479258424256,33.02872621113737,31.900047892027175,61.851140429224586,29.95109253719741,0.75,350.0,1.917649209691579,1.4533769604051523,1.1779379323638095,2.8,68.87179175018409,65.85034320519418,55.05906706924872,0.7005915841584571,0.05453871380351769,60.51290752306527,84.95634981952388,83.8449658748785,79.36269732362032,54.40079908177451,23.65408710141112,4.3521235107591405,23.315907943029263,26.632457619233158,37.507797068426285,90.2150445264902,90.87823126354387,32.06376201725405,8.283044888967718,9.408662209553624,13.179103846069406,34.129011879104205,60.2973524012614,77.80549117067926,capture_only,1.7556254515543561,1.370000447704474,0.5240402315324919,0.0013003174210907361,9.75280808363201e-05,0.6034754396888877,0.4709064599537806,0.009931439310211707,0.0008787819032538002,8.86539848958927e-05,1.0007348763473516,1.0389368066633997,6.056674855232299,6.1471987278681715,6.9090956307925175,9.083063571930252,9.06713249457179,6.980647277874387,6.157129851819524,6.2754654556140945,7.278214562040316,11.460257599811085,16.047681715424247,17.842296664576697,0.04672777298804185,0.07694141805326611,0.006626120967305963,0.0,0.007699812705432191,0.16487695929708926,1.7112067667039577,193,TrialState.COMPLETE
capture_only_v5_codex_trial_00188,2.0881907603225036,0.9013524070394279,0.6953299847172835,0.4912483959611886,0.1935794604198454,0.0,0.10410412693988741,4.725152843369464e-07,557922.9036085907,27838368303462.797,6.354393880132792e+19,0.9319939541475718,0.7678273060972771,0.2018833342049854,1.388609720692496,2.5996492277429213,0.5624975310202247,0.16544736373191385,2.7727036157524134,1.1681874725177317,76.89123925063474,1.4560767191488106e+19,1.5269463117621762e+19,1.2892042771983077e+19,-0.07350202959851361,3.059809940937794,3.9649159329358223,7.643410709420192e-05,0.007601848931480607,0.007601848931480607,12.0,22,0,4.2934800659537927e-19,3.443811325130698e-105,5.6357554603780404e-86,3.0822188577083324e-104,8.950022422007562,1.1755628678245666e-19,4.1992805027733863e-19,1.91542206091991e-20,700.0,800.0,1.35,103.85547596420724,135.87393490769324,165.86762428396815,192.58270474709138,26.964236713572504,32.018458943485996,29.993689376274915,56.708769839398144,26.71508046312323,0.75,350.0,1.8543336589537474,1.4173631232356934,1.1610626581193841,2.8,68.87290141514454,65.84244041339113,54.93486933785932,0.6826028014794988,0.053047502324663445,60.40298796352548,85.00804607435926,83.86353498028744,79.32825019948055,54.18514543940954,23.294969539117606,4.263963475527574,23.39965600860966,26.725608639598317,37.72426873941289,90.38510885749746,91.03440138330839,32.26500175659449,8.306306902578765,9.467307052699484,13.30564497465735,34.516461760700196,61.01775619117909,78.24257651644507,capture_only,1.7421075883292245,1.3574442011533276,0.5177731215717235,0.00127289496404844,9.52536588459915e-05,0.5995657920452914,0.46726413795510857,0.009815922779614551,0.0008670048893054379,8.723328539076518e-05,1.000643380985479,1.0631495079402664,5.985334987916602,6.074506745857217,6.823088801156077,8.93101544605899,8.912455860708118,6.894063956021734,6.086081231016716,6.201893829058012,7.187846640376975,11.28857687711066,15.68640726481401,17.493372774741974,0.04045289102908155,0.07455027343861992,0.004341220718597248,0.0,0.005391879819369783,0.16555330254584397,1.684883909531974,188,TrialState.COMPLETE
capture_only_v5_codex_trial_00186,2.0886425869485934,0.9105845827317455,0.7021283356777281,0.4877179234415391,0.1959512197770079,0.0,0.07635916896489199,5.530503840752792e-07,570344.76542648,28438664673129.004,5.961137965175898e+19,0.8985847862056618,0.7751494304652292,0.20033552737658003,1.3808518987606535,2.66138418195166,0.5815519088242312,0.1551649428157985,2.8464293841529242,1.1382979323013236,76.5566899803558,1.5144758797456212e+19,1.593211024007973e+19,1.3314024066801574e+19,-0.07796396513036394,3.1538727752688818,3.9061239250334556,6.748070929192225e-05,0.007322260292101529,0.007322260292101529,12.0,22,0,4.2934800659537927e-19,3.3355455129881053e-105,4.770555504563034e-86,2.5743303776014993e-104,7.717869138878332,1.1028105235575413e-19,4.1829315770845864e-19,1.8453427309029163e-20,700.0,800.0,1.35,103.53289357401644,135.2162677769753,164.6216587354599,191.0762768341305,26.976203593660642,31.683374202958845,29.405390958484617,55.860009057155224,26.454618098670608,0.75,350.0,1.8455610602395522,1.413116039774817,1.1606994990931423,2.8,68.6755929356787,65.43209294270832,53.94965833707306,0.6124899533056375,0.04753092268568865,59.536029634018355,85.0072649220312,83.77615867662126,79.00876247614613,53.268276544487215,22.44742180731243,3.9451569225229033,23.79590375893778,27.324756150328593,38.86834151248418,90.70933748964336,91.2946164681072,33.281907309771604,8.456065806038417,9.692612199732075,13.750823452364477,35.652518357002435,62.277440121607356,79.12441726113096,capture_only,1.6620946040290057,1.279910152767071,0.47566845037058425,0.0011275872124566597,8.430532587303317e-05,0.5717823000923156,0.44044275062341715,0.008939369674234058,0.0007823920141846357,7.773891675995913e-05,1.0010457443804919,1.0642078357708518,5.86640870135452,5.963240754196022,6.706331700072171,8.677044969838537,8.65776830388124,6.778813561841261,5.9648869718380775,6.090786373023267,7.076621221536818,11.070265728836116,15.27435567906603,16.93034807742941,0.04020397653588349,0.07116787221461851,0.0017351776697016642,0.0,0.005622848326472425,0.16660960515290982,1.7021974857089825,186,TrialState.COMPLETE
capture_only_v5_codex_trial_00195,2.0888470382698667,0.8968841608422052,0.6936325585428426,0.4918712545606117,0.19172637561968978,0.0,0.11659894833517855,4.3748702612672195e-07,563819.1612206923,27292056212386.156,6.539867548424e+19,1.151792814365321,0.7896427219888734,0.20010109817824892,1.4131333557276293,2.553506208000149,0.5636935418326753,0.17571974835186563,2.755736932724255,1.1983013078457017,76.9653927125363,1.4429878634197023e+19,1.5118323577747952e+19,1.2786566238561042e+19,-0.07274970355593752,2.970288237699276,4.04305605374236,8.58671407399596e-05,0.007928909798166513,0.007928909798166513,12.0,22,0,4.2934800659537927e-19,3.4937092569703034e-105,5.6497626375194844e-86,3.109265263750166e-104,8.899610800603591,1.2098754964584401e-19,4.345684666375803e-19,2.36798710577265e-20,700.0,800.0,1.35,103.82552446834306,136.34402715004435,167.1072360421853,194.46506585034797,26.860131755806762,32.51850268170129,30.763208892140938,58.121038700303615,27.357829808162677,0.75,350.0,1.8729986373402947,1.426282250239993,1.1637142140347312,2.8,69.18706182716934,66.25004818332343,55.66032578294735,0.7377147186409071,0.05740880610106734,61.04891616544748,85.0954743733915,84.00966284922264,79.62258186302883,54.89834770586835,23.99564585385699,4.526842616856598,23.066201325134372,26.28921611492302,36.95161087376793,90.1852531439707,90.88399429827237,31.575111124218573,8.187187897005899,9.29004092593556,12.97886425253984,33.72614155485994,60.069334537237154,77.66476255031114,capture_only,1.713884930076659,1.3424762799455143,0.5183978875331219,0.0013080240294948613,9.799349603146232e-05,0.5897401658294258,0.46196897219358807,0.0098844732011354,0.0008816249502203503,8.939872413275769e-05,1.0008791937399661,1.0459353787358312,6.032851917619634,6.118259421808031,6.869665455751587,9.075724113358884,9.058498902130536,6.937366491574172,6.127597563773188,6.238327252648219,7.220208022365332,11.36562626607058,15.934137983955637,17.80830543410814,0.0488342688085704,0.07717375909854893,0.005908007356355276,0.0,0.005475712829303959,0.16555064777992703,1.7047810853101373,195,TrialState.COMPLETE
capture_only_v5_codex_trial_00187,2.0888582296676814,0.9113075164551198,0.6965959592452369,0.47995708582920144,0.1918510011487391,0.0,0.10435700896721735,4.57846236465501e-07,571726.8392360855,28440352875157.25,6.358095009212107e+19,0.9477306566396474,0.7666465362063007,0.20139924734764594,1.3761477854692439,2.623947536812436,0.6442668967496065,0.14378670110279115,2.8988939967190324,1.1373365826757633,77.1878033006224,1.5048654840292966e+19,1.5933173918184718e+19,1.301552525544145e+19,-0.08784059747866642,3.2361765226660073,3.935640610578998,6.735309495759423e-05,0.0070242098133657714,0.0070242098133657714,12.0,22,0,4.2934800659537927e-19,3.4448141064374697e-105,5.279133554828329e-86,2.887542273412808e-104,8.382287648023548,1.17624757670424e-19,4.193347751235635e-19,1.9477777753918548e-20,700.0,800.0,1.35,104.72977063703718,137.7439420934946,169.87293253640095,202.0206255031336,27.54196733641477,33.01417145645743,32.12899044290634,64.27668340963899,32.14769296673265,0.75,350.0,1.928970380382844,1.4666389129912571,1.189245528918175,2.8,67.69464298760869,64.51306978287306,53.16230113990569,0.5834852730398348,0.04538416936682081,58.83622783158149,84.56048276747175,83.35396205239573,78.6242647239579,52.87374082744852,22.373628485296322,3.868332496123203,24.541291310480094,28.026393957528107,39.49277187630084,90.63656221196638,91.19194217233047,33.821209145515475,8.718670281225567,9.943901677128313,13.979131595312644,35.83020221072246,62.08456536923234,78.95974938180235,capture_only,1.7643430383173135,1.3747596992907543,0.524194625209046,0.0012456355305044378,9.347600422887249e-05,0.6067797344763585,0.47292725531446295,0.009955073578268062,0.0008615867026945772,8.534726607637807e-05,1.0011023905927574,1.0703558848522232,5.999722663593922,6.085776560308068,6.820732358584427,8.778706879463288,8.762580182298487,6.898224156864029,6.114067216826345,6.229209015161523,7.216094627466272,11.28610188825075,15.540944558768638,17.171832774808365,0.029974674742816454,0.07377370890270926,0.0034212337871674103,0.0,0.010287126733897912,0.1663911906479399,1.745992941596062,187,TrialState.COMPLETE
capture_only_v5_codex_trial_00192,2.089413908379388,0.9127330213733819,0.6942859751185237,0.4851900447890576,0.18691536178896967,0.0,0.1064349155540865,4.4691817969441343e-07,563245.4002100059,28063774120361.246,6.388588566393989e+19,1.1624873015117922,0.7784492299587384,0.20003934994405373,1.3616757529420371,2.571886031405128,0.5949001532967948,0.1879893835306928,2.9191990615224994,1.1504420874901051,77.95920265554668,1.4708654122571094e+19,1.550231603119785e+19,1.2858227090642141e+19,-0.08121549457951864,3.1915946373797826,3.958422748170562,9.0625901622474e-05,0.009032498277345202,0.009032498277345202,12.0,22,0,4.2934800659537927e-19,3.4530649258919225e-105,5.5222805397795996e-86,3.023652340476661e-104,8.756430606921343,1.181888884782888e-19,4.262296743440954e-19,2.389285749788767e-20,700.0,800.0,1.35,105.37608964708288,138.12831709205176,169.00685499747763,197.67130661383638,27.416886991536202,32.75222744496888,30.878537905425873,59.54298952178462,28.664451616358747,0.75,350.0,1.875864888096163,1.4310701149142637,1.1696052601936564,2.8,67.98691936591254,64.85602496902044,53.69395952414664,0.6117951991949606,0.04741353926935438,59.303497665305876,84.63814312203903,83.46708954406883,78.82375171958518,53.186709924696515,21.785517048275057,3.74510699673061,24.214651613456912,27.643367232614587,38.90474816446635,90.47702477700214,91.06084844001101,33.30034022080762,8.604216075022372,9.79105140463831,13.729037843950557,35.40882925598599,62.39604572500878,78.79789997204813,capture_only,1.7553558266522185,1.3697232942492799,0.5238296921360295,0.0012606851234528216,9.436589886604957e-05,0.6043355859990399,0.471637367740477,0.009958068006013687,0.0008786743447828373,8.669101506972866e-05,1.0006507010057084,1.0542218058024606,6.043073193978371,6.130884504115709,6.877462619251017,8.909919338679433,8.89164365482075,6.953472662071236,6.1533052169395885,6.2702216835523386,7.266842005381719,11.39450275131148,15.81755855237139,17.456906340206203,0.04723173663199347,0.07203808232653997,0.00517069429208729,0.0,0.007034731428674122,0.16515871262763077,1.7672845437918916,192,TrialState.COMPLETE
capture_only_v5_codex_trial_00190,2.0896418688927603,0.8996423572713018,0.7002269995451786,0.4894455482313591,0.19515722269826932,0.0,0.10712487723875071,4.7567591156978797e-07,569995.872835625,28065773351941.285,6.3987461547568636e+19,1.0541054552651874,0.7666387653223343,0.20031753459102306,1.3821921746897938,2.5811056938339685,0.5783921583563061,0.16096015294838414,2.8010465442024977,1.1624015363862998,76.4606662013897,1.4959513947657871e+19,1.5709658902699004e+19,1.319338662492212e+19,-0.07581046610169066,3.053247089064496,3.9583976771831724,7.604717930676121e-05,0.007406871709747183,0.007406871709747183,12.0,22,0,4.2934800659537927e-19,3.455808949939245e-105,5.836867998274975e-86,3.196997418025752e-104,9.25108263893453,1.1837680386300198e-19,4.19907072426223e-19,2.1665682915221958e-20,700.0,800.0,1.35,103.22101722337305,135.21218977310357,165.16248033794216,191.85136964402605,26.760351021983354,31.99117254973052,29.950290564838582,56.639179870922476,26.688889306083894,0.75,350.0,1.8586463765306103,1.4188910775423973,1.1615917201744321,2.8,68.699788555489,65.64277991159938,54.71777723928661,0.6721761014397056,0.05224804014289141,60.21368166571125,84.95053818631999,83.80767410348967,79.27582572703207,54.07316456580227,23.298967931913097,4.24161455201272,23.59029478783338,26.940806835783537,37.96115168452831,90.43838664955423,91.0778815904117,32.47314211505241,8.379345212764242,9.538393202859249,13.379943593293827,34.677194634226595,61.07376511486671,78.3709061290582,capture_only,1.7375435918682827,1.3561551384020334,0.518848920768665,0.0012736648607363195,9.53195758277178e-05,0.5975502985178277,0.4664715776140024,0.00985186013728326,0.0008690964944894957,8.732227593444694e-05,1.0012473989986153,1.0527854229215037,5.972373064809345,6.060258114215074,6.802222155416417,8.888163584145303,8.869775049869586,6.872908129668626,6.072566302397941,6.187461116037067,7.165728767608489,11.239788939833842,15.626397856725701,17.38739199665318,0.04412415853493504,0.07464304998798751,0.003961687897402075,0.0,0.005400003711847741,0.16614135056614834,1.6981754659369839,190,TrialState.COMPLETE
capture_only_v5_codex_trial_00194,2.090643774524746,0.8995144336712325,0.699852846292407,0.4910809790624433,0.19303496867292555,0.0,0.10403472269071969,4.3490663170556434e-07,571865.9518516031,27782542316507.07,6.353378470734929e+19,1.243772050098885,0.7508875660799597,0.2014190504896171,1.3690775189313071,2.528426480169124,0.5636305885440022,0.1726764827055786,2.8110761596244047,1.1728359788999734,76.68963172833423,1.4879010352016167e+19,1.5600308417455888e+19,1.3163844958305833e+19,-0.07375042582298277,3.011985950884488,3.9811538941555993,8.280164629793426e-05,0.007862352371027089,0.007862352371027089,12.0,22,0,4.2934800659537927e-19,3.443536159775961e-105,5.5332581646927015e-86,3.0260587039750903e-104,8.787648985140809,1.175375017085962e-19,4.1064952825477367e-19,2.5561794325722035e-20,700.0,800.0,1.35,103.3530848746632,135.35319807521836,164.95973875304747,190.55742320653678,26.663453146328962,32.00011320055516,29.606540677829116,55.204225131318424,25.597684453489308,0.75,350.0,1.8437516735724602,1.4078531273464288,1.155175345493304,2.8,68.77133449038732,65.74898960158237,54.93914248860285,0.6894761114554845,0.05357666639212895,60.40515978502119,84.92297197532433,83.80694145615183,79.31214043695661,54.1761332220285,23.212156508723943,4.2463378062474035,23.358861717411408,26.69000694243528,37.613738725551876,90.24937599791579,90.9058686954846,32.159103753097874,8.298182916058483,9.43231838414673,13.22415084137456,34.36319007893277,60.788317821072845,77.96457029248748,capture_only,1.8173986191206466,1.416873887498414,0.5404702729477016,0.0013318633578761857,9.963040108315124e-05,0.6250734504686019,0.48737412700326876,0.010239986491910436,0.0009094613496341339,9.134890673796265e-05,1.0005684223282225,1.0403795967707583,6.052405173080661,6.144129568483964,6.906648512897572,9.059816027270834,9.040455007722207,6.9786688607354295,6.153771658148618,6.273366032698163,7.277816294021003,11.450436712546818,15.998616208853585,17.78900055235838,0.05437993394796917,0.07549405106673232,0.006315803456679466,0.0,0.004335133916521538,0.16535749378099737,1.7122148537305024,194,TrialState.COMPLETE
capture_only_v5_codex_trial_00191,2.090653279271072,0.9000405293504671,0.6999985383294698,0.48964851517105346,0.1948839405340672,0.0,0.1041751384986133,4.518249196222918e-07,572818.1782232425,27882390327125.855,6.355432973019735e+19,1.0950812755558739,0.7699692182450129,0.2008188261324725,1.3868858086556792,2.5548957895457693,0.5775311690016746,0.16066097378517444,2.797801877796897,1.1729648435178395,76.46772470544269,1.4938047777077338e+19,1.5683033130135288e+19,1.3178695592619203e+19,-0.07555763332413404,3.0319351077367314,3.988177863618452,7.602569444578186e-05,0.007378953826103007,0.007378953826103007,12.0,22,0,4.2934800659537927e-19,3.4440928857044995e-105,6.1950899775408434e-86,3.388240396146787e-104,9.837831059117072,1.175755100008651e-19,4.211142725134236e-19,2.2506015308283358e-20,700.0,800.0,1.35,103.21447779324049,135.26771325262104,165.25641379501434,191.8842368695679,26.7467530877978,32.053235459380545,29.988700542393303,56.616523616946864,26.62782307455356,0.75,350.0,1.8590825722526145,1.418551642927621,1.1611303456432436,2.8,68.77359645864533,65.72776442413212,54.82544501367761,0.6792326892292888,0.05282239725031382,60.30803393756614,84.94918693882225,83.81514005315987,79.28816818016966,54.115574948411655,23.40900936356864,4.287117007827907,23.45645935048479,26.79968254728731,37.79390779402972,90.34029904142596,90.98649966472117,32.32024935965982,8.330671209649447,9.48089938628571,13.305596438981995,34.519940769131,60.77750600525632,78.11168660819018,capture_only,1.7536408687250533,1.3666785751962935,0.521320251077724,0.001281042629649064,9.58854915768035e-05,0.603533404827218,0.4704596805899495,0.009898680651664361,0.0008739805947499495,8.783506677963183e-05,1.0006252600643044,1.0487022692999726,6.0163033221448305,6.1058744533842795,6.859326941214986,8.979187226715098,8.96058205253694,6.9306967358532745,6.116608446701115,6.233500879964478,7.226691497443237,11.354585601805692,15.812610650580302,17.601108548915143,0.04614015775893563,0.07554186818648338,0.005139401013489963,0.0,0.005285167291589733,0.1657523942631172,1.7060167688173447,191,TrialState.COMPLETE
capture_only_v5_codex_trial_00181,2.090790735885121,0.9282149829036613,0.6670127379555534,0.48186768971316146,0.17345018474658927,0.023478700297589306,0.07723929829677299,6.027712051704166e-07,524671.0994045185,26608701533247.938,5.973230893975589e+19,0.7309769801234531,1.085455821717944,0.2026281370298054,1.3660224081255143,2.7158706036361635,0.609404054626107,0.14845096364977034,2.891653210067041,1.1574405095353208,81.02589895555472,1.2977350191684844e+19,1.3715739666161078e+19,1.1268920675331854e+19,-0.08533691152737681,3.367966739631182,3.9805766659350206,6.364581104805882e-05,0.0074334457578991465,0.0074334457578991465,12.0,22,0,4.2934800659537927e-19,3.3389270886549034e-105,9.347807509451209e-86,5.046439853438427e-104,15.113956428055456,1.1050477153854839e-19,5.859863408960773e-19,1.5011776682827522e-20,700.0,800.0,1.35,110.44796139834997,145.33161123231693,180.23487333311112,217.34416060463312,29.42206244279525,34.883649833966956,34.903262100794194,72.01254937231619,37.10928727152199,0.75,350.0,1.9678422114170422,1.4955050643263148,1.2058940458372691,2.8,68.65391365952544,65.37871560199704,53.60132035558353,0.5890783442192077,0.045835618225467965,59.198438033974334,84.85604745457721,83.58295745310502,78.63810997531894,52.82635031863238,22.331700425508544,3.897069381011819,23.988326326461248,27.463925902829843,39.08363042913397,90.41987770096003,90.97746898127677,33.46246207171859,8.507844044249364,9.755730080504742,13.869621442212058,35.57550982283072,61.72055791269388,78.41297648729845,capture_only,1.279470537534088,0.9841584830565078,0.36627159442203744,0.000863122178493601,6.491831441290686e-05,0.4392884058879988,0.33785967682543544,0.006863615261027922,0.0005934037940421239,5.892717024862479e-05,1.0008833836340827,1.1133718749720771,6.078289476479215,6.173200012116618,6.948777620860449,8.990180832642265,8.976630482183328,7.030247860252332,6.196820095285452,6.323452789564819,7.366598626109221,11.59127624327587,15.947148258003546,17.689895204519523,0.022679118640028702,0.07349947748511353,0.00599029155430402,0.0,0.013968193665879954,0.16479330947807583,1.7667953334939366,181,TrialState.COMPLETE
capture_only_v5_codex_trial_00149,2.0915274160235198,0.9175914810727203,0.6886474537542753,0.45856402695768306,0.20559956909031243,0.005544242238579308,0.014400456514233472,6.922302810980612e-07,546505.5774281557,30852293075848.258,5.168570694759663e+19,0.5822128342391575,0.33461802311780336,0.2748619971250514,1.2730527805172256,3.4094544799407798,0.8796650700846835,0.07004153070179138,2.6998188061267694,0.9801328503347507,74.99105263909765,1.5283318351335932e+19,1.6459224802103153e+19,1.2629201256787313e+19,-0.1150334927745449,3.07138943409871,3.278526950763456,2.3925817608978864e-05,0.002962707071086837,0.002962707071086837,12.0,22,0,4.2934800659537927e-19,3.1059003286305415e-105,2.500704973252697e-86,1.3127864985075789e-104,4.226750248248999,9.561855785305377e-20,1.7566327399867957e-19,1.1936903783269607e-20,700.0,800.0,1.35,103.54937617515311,140.86231334807297,185.64153256340865,253.81787287378975,28.558323536055468,37.31293717291986,44.77921921533567,112.95555952571678,68.17634031038111,0.75,350.0,2.451177228189752,1.8018863018854576,1.367247239176365,2.8,68.29898668690194,65.27320573149602,54.41584613278603,0.7048681474171701,0.05617946026009694,59.9391794000096,84.97890153623109,83.76830280580384,79.10250111414992,54.56756695676154,25.919862015264084,5.044377039317937,22.48838278698326,26.26511149359606,38.09567810526961,90.81236462315564,91.45182376032184,32.62401172868814,8.008509963585471,9.349707545176008,13.573338435337703,34.36796960468899,58.86251267011184,77.98952256603215,capture_only,3.6145662356870023,2.720559505101675,0.9550572602113232,0.002218207565749003,0.00017300460300671765,1.2491048462254783,0.9416559073994641,0.017741016968945988,0.0014651305612635385,0.00014822143999063198,1.0003583388784998,1.0816252858163398,5.598064290427821,5.741123269806249,6.53341850173304,8.48054902186144,8.491823774815055,6.627068497258767,5.7634836539579375,5.940333741620695,6.9921159963061115,11.046722421580546,15.216160184062804,16.965952173209942,0.0,0.0828700084170922,0.001367117042159383,0.0,0.04456768679081306,0.1811574207339562,1.403973772861553,149,TrialState.COMPLETE
