label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_A_nominal_near_trial_00299,2.046951636647116,0.9078399755185941,0.6500407030385774,0.47110787680236604,0.16949301744738132,0.016995293633006763,0.0512855290545222,2.263237903339535e-07,272976.99046118115,48813050271223.75,5.6267229708728844e+19,0.7554282598786844,1.4146021418956365,0.6626189252108847,1.6553087452477344,1.9994741555200968,0.7573813189590118,0.0,2.787921261070982,1.1265992479829705,81.6902324398165,1.2209039510469784e+19,1.3037130239989455e+19,1.0375752532590307e+19,-0.09916239908135091,3.142528188377108,3.6977680404253843,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2406344980375308e-105,6.652127436810351e-87,3.548526702309634e-105,1.095009852070191,1.0409437496114836e-19,7.546087355277734e-19,1.5503105694457838e-20,700.0,800.0,1.35,111.11801065642183,149.43786802082641,194.91117444921338,258.1884409291425,29.427778216605333,38.319857364404584,45.47330642838696,108.75057290831606,63.2772664799291,0.75,350.0,2.3235516853110707,1.7277310252656979,1.3246466841049014,2.8,67.37988748004936,64.74901870600085,54.36985618880799,0.836757516099776,0.06849841851752152,59.73059185612676,83.49490767636132,82.46202303360666,77.98259928893724,55.116067012637735,26.104762422970044,5.25545100979442,23.03800914665219,26.052635657016065,36.58092699889216,88.42027759571226,89.1848653816436,31.202388466311938,8.139929450388493,9.182765356050801,12.908111856981991,32.09436639813776,57.80556244832365,77.35524356541293,baseline,2.1862053027596513,1.6656438434246352,0.6013243819460086,0.0013634371897875879,0.00010298337027254571,0.7559200630558641,0.5767809528349573,0.01126691428015265,0.0009025323230175983,9.022309365690212e-05,1.000405353233967,1.0814613961529767,7.395898070538787,7.532701793558444,8.447892430353855,10.74160145099818,10.746533216468608,8.557529658451966,7.6092428101943215,7.778430657507598,8.899744945494227,12.778299674944348,16.088772596383283,17.389215201698992,0.0,0.0875583921702561,0.006886002517092758,0.0,0.03727498058732956,0.08120139068624785,1.601045452722927,299,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00273,2.0475012552760754,0.9042604864971582,0.6571820692625122,0.4729896393240466,0.17781640933243073,0.01091721773210611,0.04542996177323645,2.0747724588030262e-07,268798.8998404376,51188045470282.08,5.551367341143797e+19,0.7464065118057683,0.8388245397914138,0.6665278214069478,1.438741917507562,1.9310756972734855,0.7611586605787933,0.0,2.717092630621002,1.0516547501782583,80.08088442400174,1.2630753294993654e+19,1.346547867907031e+19,1.0775711481278882e+19,-0.09677584191347585,3.0336291368610806,3.4347490091909654,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2188613287116985e-105,7.073652729295026e-87,3.763524926434804e-105,1.1692100224588111,1.0270029581116025e-19,4.462951724129685e-19,1.531559141672599e-20,700.0,800.0,1.35,108.80388803250952,146.35412319318178,190.98276296780753,252.04434785792924,28.72300360850778,37.55023516067226,44.62863977462575,105.69022466474746,61.06158489012171,0.75,350.0,2.3165012980291744,1.722154062753944,1.319723015528969,2.8,66.68147664464692,64.32147568078929,54.683186436968526,0.89822157864981,0.07330446409165398,60.014559305476375,83.31789108847268,82.37535663093463,78.16189531103652,55.65097308983097,26.747520983552505,5.53046326637642,22.493530753198097,25.546636693945487,35.99490945003988,88.41030687848577,89.23272703494418,30.702846822504736,7.95952859569119,9.010882430121994,12.702341125991301,31.681768780596514,57.30744170958552,77.20541546347106,baseline,3.567445066429466,2.720262206520829,0.9786996154813172,0.0022440686120832167,0.00016947664052660783,1.2348127524069836,0.9428002319225335,0.018332974828467515,0.0014681820960818564,0.0001476826450705432,1.0004127079235736,1.0715448598365762,7.257547535725515,7.411625418744393,8.343204497510284,10.689227474252341,10.69379902432365,8.452448198581534,7.4877675634291485,7.670960707020825,8.794484619891971,12.648925154744054,15.943569124765895,17.263973587507447,0.0,0.09012241325957493,0.005967655128143644,0.0,0.035253343096357484,0.07339049729683586,1.4639441898803927,273,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00276,2.0477290684903955,0.9036965658781508,0.6666033727531954,0.4710402748754927,0.1874739175026433,0.0016492147864886073,0.030402842782975822,1.9916657923989784e-07,264094.1094339735,55192716528232.65,5.362568429994341e+19,0.7509830233742326,0.8083549863440486,0.6497267536653094,1.6187649882998687,1.8387604283872037,0.8002759938831624,0.0,2.667285612349938,1.0967267279659916,78.14336758926567,1.3344568747448005e+19,1.424802424719789e+19,1.1336006974666105e+19,-0.09929454108906742,2.924522555891687,3.570675863453214,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.163652018365946e-105,6.2736709698428665e-87,3.3159834377737845e-105,1.048150497754971,9.920751595489532e-20,4.272604922131987e-19,1.54034573663613e-20,700.0,800.0,1.35,106.1812093147926,143.57222763279407,189.12184110906287,254.19885580058897,28.03784172552693,37.39101831800147,45.5496134762688,110.6266281677949,65.0770146915261,0.75,350.0,2.394009801178403,1.7705294400720584,1.3441010002329528,2.8,67.30429423635806,64.96154101291523,55.2959984261142,0.9424654075823744,0.07708418467161826,60.58909974088322,83.70061736315203,82.77800973369582,78.5911472524346,56.314657682083826,27.188467802620444,5.6572292019736485,22.21447727650102,25.24486763099193,35.67758439624702,88.6358594992029,89.49767404307202,30.421114949083055,7.855217044221827,8.888151574860592,12.561075836992085,31.40298174518061,57.33392827324688,77.57741085043047,baseline,3.4418115217974843,2.601687558249818,0.922582278735481,0.0021357957743242018,0.00016129835454238936,1.19316033528767,0.9031781115022874,0.017233557358374306,0.001382741934350185,0.00013963650839435534,1.0003078362282967,1.0564968557482834,7.039416965343427,7.191903797843017,8.103834898903306,10.41953929744041,10.425080473901817,8.20613563302946,7.251005257338473,7.4306605799412955,8.525559916819512,12.265127015377184,15.476221182198326,16.765220311087496,0.0,0.08898350199910066,0.003011887211529486,0.0,0.03950148832095526,0.07769642505617655,1.477344286709558,276,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00258,2.0503288868123692,0.9073897381764985,0.6355439605805396,0.4717277616277906,0.1588528553314302,0.025429795557110467,0.06993810899922616,2.3845965584998364e-07,249248.0084983935,48820676604744.85,5.873650665231209e+19,0.7522034182163083,1.378451270526504,0.6578796923219835,1.542755216906506,1.928553318819582,0.7539749198939677,0.0,2.751308183346206,1.1112424792208242,83.78572056067728,1.116710510432663e+19,1.191394033955409e+19,9.499358616929552e+18,-0.09836113764985256,3.137474972529413,3.614353544392096,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.3109783496315512e-105,7.939776697364258e-87,4.2716835794106135e-105,1.2901575088480932,1.0866253730677737e-19,7.416213177985833e-19,1.5444632810114336e-20,700.0,800.0,1.35,114.17671756700364,154.13035869408296,203.02974729611284,274.2635684996563,30.39099700632636,39.95364112707932,48.89938860202989,120.13320980557333,71.23382120354344,0.75,350.0,2.402097155566826,1.779426005515325,1.3508541095687374,2.8,67.6089139079566,65.12239185873884,55.17040639055206,0.9314956506072689,0.07685767661855807,60.41840080598212,83.54838774912223,82.5656892120086,78.25244699852058,55.929836264271614,27.103719139685904,5.683085168335674,22.67931779865925,25.553760015202837,35.69273885817318,88.16183960995959,89.005914719871,30.434699553107542,8.009165994417978,9.007197721358093,12.590024279727007,31.210141366372863,56.66296328635939,76.70562633438827,baseline,2.2667112998632817,1.7440376551358312,0.6411233674979782,0.001506088643895933,0.00011464317553898712,0.7859753146085658,0.6056458553402077,0.012133977919101742,0.0009750589580930786,9.861318797614437e-05,1.0004320225901686,1.0948707635940211,7.445056993520867,7.57981047092249,8.49573138377679,10.905158650789243,10.9171129603349,8.601978698582412,7.656470941851231,7.821467211293087,8.933507261646321,12.847888391436406,16.232342514996603,17.61118988408808,0.0,0.09125120872003659,0.007794018409698946,0.0,0.04415913432304087,0.0796729234349392,1.5596389086966438,258,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00293,2.05101794905091,0.9090317754866835,0.6574359315918432,0.46949842187902924,0.17199391018511037,0.020069232227162018,0.06299538491876369,2.2190267139324968e-07,271301.0626390324,51498557126456.57,5.780499783475355e+19,0.7570307935528524,1.3897654478683257,0.6803415373275,1.5950768199379182,1.9594036086869577,0.7575108305548335,0.0,2.866017056671533,1.0831362896820411,81.2227677607758,1.2768997675592542e+19,1.3660644899890723e+19,1.0821117480593895e+19,-0.10119909023590294,3.2624975698802543,3.607050944309366,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2846188346561883e-105,6.496304226042939e-87,3.483885145371252e-105,1.0606664945754418,1.0693924599429407e-19,7.453134937813613e-19,1.554084401484628e-20,700.0,800.0,1.35,110.36001977252896,147.648924453891,190.57823527403716,248.09546651393197,29.137252011753162,37.28890468136204,42.929310820146156,100.44654206004097,57.51723123989481,0.75,350.0,2.248055654804154,1.680306628927793,1.301803777105971,2.8,66.13113624788889,63.43565843635638,52.83859584709636,0.7219802586006475,0.05862523881980354,58.37655550310004,82.96746685514758,81.9067808381042,77.32130567484417,53.81322662229198,24.299792677513285,4.568231287674191,24.095579170528687,27.194951089295717,38.00750126946948,88.59475608151425,89.2602275516598,32.44739136675258,8.521846103072875,9.599908016264662,13.448602754902046,33.2863333027903,59.58846742972374,78.13703088076639,baseline,2.2950737134704946,1.7591186887801251,0.6415588634112893,0.001410860095500103,0.00010601508417476067,0.7948201092096804,0.6102163323262224,0.012083164157186257,0.0009589122889114099,9.38791262622762e-05,1.0003967629891388,1.0891324609125492,7.478210868111936,7.61027178556777,8.512344020022892,10.681852799789604,10.681041194436212,8.631985213710477,7.715866932569878,7.883094813304908,9.005930392328468,12.888356910760539,16.11078098047406,17.29464395243315,0.0,0.0839743506965395,0.007025195759786104,0.0,0.032353026293817866,0.07899426970641817,1.6137181838710553,293,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00271,2.0510736289537266,0.9093753902751855,0.6458331320383608,0.47311412527703184,0.17142926197181863,0.011864533719556153,0.03753365937379809,2.050928468500754e-07,267472.4300493194,48200261614850.5,5.451344944260758e+19,0.7407464583595443,0.8365559129078838,0.6744399995568201,1.3518407202091507,1.9359967303124128,0.7663986172052788,0.0,2.6702758240168136,1.0515304912487273,81.33891806399022,1.1846016700351515e+19,1.2623008696592232e+19,1.0105318501647907e+19,-0.09661287516520613,2.9813932432912535,3.3998058093943144,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.189731418087714e-105,6.565152602685316e-87,3.4808300447629623e-105,1.091261171716384,1.0084988146882402e-19,4.435401782713816e-19,1.5196308797905392e-20,700.0,800.0,1.35,110.72982395609769,149.61543928049664,197.2945149618853,265.90710769552334,29.39090589210747,38.885615324398955,47.67907568138867,116.29166841502669,68.61259273363802,0.75,350.0,2.401404591783245,1.7772705074708561,1.3477673606227374,2.8,67.19060752405434,64.91407653370287,55.53121448396086,0.9979695351576502,0.08222862126214628,60.713037383682156,83.40967729977177,82.48914698856909,78.34762040417237,56.25104208741716,27.862532763825374,6.058251025875339,21.690470700494437,24.692851363962987,34.91638671849334,87.94026334925518,88.84634297233629,29.77790495732312,7.6748357059044725,8.708250704588934,12.312330015830556,30.75929739433389,55.70752742230657,76.06309646349666,baseline,3.7200602752138052,2.827714764060239,1.0107953000799135,0.0023681957943138413,0.0001798623294406191,1.287311080397635,0.9795863980793019,0.018865609037066116,0.0015174554448815054,0.00015482304188241185,1.0004884385501969,1.0724890061511907,7.398861500237419,7.5653573382738974,8.541603497465893,11.05939891979286,11.071248544072139,8.64972217045323,7.628175913926108,7.823015908762674,8.988051436246506,12.970794909211886,16.428422358423166,17.878497687586112,0.0,0.0952492254143565,0.009034136226653215,0.0,0.04197838898226635,0.07119682259751374,1.4275205771797133,271,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00269,2.0519128177163486,0.9166115627105236,0.6265608714909624,0.4705194657106788,0.14880363470951427,0.030871179339032835,0.055217992616882906,2.0342826941130788e-07,242154.27949934205,47509946991897.57,5.677903367212902e+19,0.7447307472335931,1.423231443607473,0.6653271956241068,1.4682117267334547,1.8599675273557326,0.7449798560641054,0.0,2.8044811827616947,1.1123290336409921,85.93273525397488,1.0550863732212445e+19,1.126753321635085e+19,8.952766946439764e+18,-0.0998715677097519,3.2329616301549082,3.630160898278341,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.255339461102079e-105,7.144380942429658e-87,3.817880151269142e-105,1.1728055389887413,1.0504121229343869e-19,7.605595394474022e-19,1.528516375486285e-20,700.0,800.0,1.35,117.31860179781943,158.33894831233457,208.62294894096507,283.14772808765207,31.385866543844543,41.02034651451514,50.28400062863051,124.8087797753175,74.524779146687,0.75,350.0,2.4134938854420858,1.7882380242233484,1.357222345504164,2.8,67.22787843514531,64.72514804199426,54.62078064845835,0.8901235403910707,0.07368222534643697,59.887983144328466,83.23198914302465,82.22940996503038,77.80458696276769,55.235706404042965,26.368243045199943,5.4093462052715,22.6903412865002,25.6061234749516,35.89650541653958,87.8026661799698,88.60614874889977,30.614841784263493,8.01191998863716,9.028366455367555,12.673750136933926,31.371774926806033,56.750070257286936,76.31021189779788,baseline,2.37245421376576,1.8121073567424297,0.6567155470611498,0.001517888525737918,0.0001158511420578527,0.8220108627249058,0.6287898232179967,0.01234497549319731,0.0009891286253231422,9.937776206775965e-05,1.0004497233383705,1.1065321020942929,7.709326064588731,7.8566211263117065,8.825998387940908,11.3056923911134,11.320053174611736,8.939193693189393,7.93408000561328,8.113433756384062,9.292354098014407,13.380173693657806,16.8806975688878,18.28034251916854,0.0,0.09161557931884513,0.012025997295316917,0.0,0.04709717536450746,0.078935876117948,1.5969712517221568,269,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00262,2.0531051292218736,0.9125748614367551,0.6244071736137216,0.4730612390440453,0.14968585076377275,0.027615688888465537,0.06087531284918897,2.4537461796606686e-07,238708.74823686611,46833290134869.57,5.7523501919207105e+19,0.7510467713005627,1.3825527249971314,0.6290396986946815,1.5466857275670702,1.9163661466284885,0.7442620610023344,0.0,2.709200195416253,1.1419869953241018,85.67494399228295,1.0284685159669062e+19,1.0955420343838253e+19,8.769420617691454e+18,-0.09665814433898154,3.089764553615825,3.67330555667074,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.27661143719029e-105,6.739139533805729e-87,3.610605100934958e-105,1.1019326429596636,1.0641847855053315e-19,7.407254140006164e-19,1.5417123835857865e-20,700.0,800.0,1.35,116.95192105404415,158.513481520361,210.8497413977829,290.2554463315383,31.2769770617612,41.56156046631686,52.336259877421895,131.74196481117727,79.40570493375537,0.75,350.0,2.4818356442166487,1.8311088971587255,1.376598540777676,2.8,68.5814364572926,66.16784383170759,56.42267120801246,1.0596092722102701,0.0884854754400619,61.52054317243587,83.97059701760459,83.01439501864793,78.79349186597024,57.044171790882494,28.62984745328384,6.358992059624206,21.855910696351007,24.643974367694216,34.531849544448605,87.97988111268327,88.93076212474287,29.429265207643045,7.710976568261896,8.677605418561772,12.159199921979317,30.205360313108326,55.18296975120501,75.97404781914247,baseline,2.195717431179051,1.6820330341622478,0.613613934735328,0.0014839353444868085,0.00011403669913480211,0.7605681627076808,0.5834013638542277,0.01156758289046295,0.00093570976731872,9.629408685761051e-05,1.0003733541274493,1.0971933524262478,7.366935415177342,7.50614876643595,8.431865312803614,10.959025679761957,10.98063836311793,8.529411571941452,7.5578582514258255,7.724598198936063,8.833341368778788,12.738900313118705,16.186247085743837,17.66686382714647,0.0,0.09570159347198372,0.007502485317375157,0.0,0.0520579735792294,0.08193275157747948,1.5600109660905817,262,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00244,2.0545209405001152,0.8959991515311707,0.6511605164807946,0.46836848067331727,0.17338675639050002,0.023687086239439555,0.10395413086891343,3.458475683254289e-07,269307.7821267703,50369925495498.78,6.352199586679896e+19,0.7413834585515874,1.4891984744775297,0.6126222480442838,1.4670782935254987,1.9576254644029556,0.7998286782968302,0.0,2.735171109881817,1.0680777915764117,80.77283649795227,1.2390815447593193e+19,1.3258302906009225e+19,1.0467170053013533e+19,-0.10265865699700347,3.1185722731887298,3.4990669003771457,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.4432166669091623e-105,7.717050032408672e-87,4.2201745256971775e-105,1.2256488434942026,1.1751569235357808e-19,8.143885862219264e-19,1.523675384471713e-20,700.0,800.0,1.35,110.07044750032956,148.76531585806686,195.9782286880249,264.82644823724405,29.297611002377295,38.69486835773729,47.21291282995804,116.0611323791772,68.84821954921915,0.75,350.0,2.4059723045684094,1.7801625782847672,1.3513054486211207,2.8,67.35999405501147,64.76369685862308,54.69738361402397,0.8666295930269985,0.07103093507645919,60.06155950480104,83.63861782503638,82.62944255036543,78.33348385518065,55.794120293848366,26.697091626600265,5.4604205744652505,23.53905807794294,26.44188711949865,36.61197838566624,88.79701848478403,89.58550601950257,31.23213833099658,8.320173462040364,9.330420869515882,12.929705420600326,31.973240618781535,57.905664491428496,77.87779554547419,baseline,1.9302156934576846,1.5097368751893736,0.5731751052454174,0.0013497471815622202,0.00010255285691467462,0.669351905634586,0.5243825681808302,0.010995144533847506,0.0008822483185540521,8.878202678316479e-05,1.0003551730399536,1.0934833114150317,7.170732173587912,7.284679146688901,8.11746289506436,10.335002175007409,10.343360492564047,8.218989610904961,7.371856807288674,7.515754011937856,8.53641760947981,12.221643942836257,15.396361633652681,16.661695098033796,0.0,0.08711845919348228,0.0025068110788954343,0.0,0.042728381166086175,0.08400802339698611,1.5115310062079763,244,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00267,2.0547451405445805,0.9138218473215393,0.6249461464912653,0.47120236754160383,0.1528553007018445,0.023193615257373935,0.047873340872837435,3.406836973506581e-07,234946.00347081883,48242290858780.01,5.5826878472935514e+19,0.7422049377586618,1.4270974642738856,0.6616333959720944,1.4323233816894951,1.9322250899830071,0.7709204645247945,0.0,2.6807344723200415,1.0887108877844065,85.04140631045325,1.0405762025512522e+19,1.1101033319318948e+19,8.837522020753719e+18,-0.09903289722065678,3.0391621638872524,3.4812851208836744,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2279288754532323e-105,7.029340568156504e-87,3.744021722658221e-105,1.159883587005158,1.0327972517493071e-19,7.601116854113607e-19,1.5230359294088046e-20,700.0,800.0,1.35,116.20495601561942,158.08275132097313,212.0644955637292,297.4372530779267,31.16354970516616,41.877795305353715,53.981744242756065,139.35450175695357,85.3727575141975,0.75,350.0,2.5595918046554518,1.881528823306007,1.4025792119857303,2.8,69.10938392270722,66.61033904025845,56.795809590396736,1.1100331044451477,0.09320342079654968,61.83793559396369,84.16946779087996,83.17621677902314,78.91759675424795,57.27309062236353,28.9426556120949,6.529234172737771,21.445676387223354,24.292418974837716,34.195341863360994,87.89490512565918,88.88731183485038,29.140498335349342,7.570886760890271,8.554757367865875,12.042052612077196,29.95394408694585,54.83578087439037,75.75383624100385,baseline,2.1084837048171337,1.609109309014918,0.5801213612665639,0.0014067782951686513,0.00010870985429262664,0.7304420576032428,0.5582230005835807,0.010902732484546214,0.000880444918142569,9.088886021363775e-05,1.0003831098240283,1.08992845102337,7.336455985252296,7.48813267588892,8.428727184975706,10.993654991600517,11.019376034498773,8.527889516695494,7.529203390626525,7.7108028525274035,8.837862201744333,12.762062558206077,16.220683068596582,17.716838697398146,0.0,0.09660650257904017,0.007720277595937513,0.0,0.05994940787135471,0.0796871592936649,1.4766192633680424,267,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00204,2.054769558897616,0.8934345876128921,0.6535311315683372,0.4729651754113953,0.17185078640980855,0.019026194029174045,0.10743782412797447,1.3481977720307204e-07,276348.9884328268,48840711332367.99,6.403358668700285e+19,0.8175337529295741,1.4582365471029193,0.6485934536667485,1.8726022963413258,1.890149467114854,0.755988967393342,0.0,2.756476944620032,1.2209719299037076,81.0022262245901,1.2381546417521447e+19,1.320133460675306e+19,1.0562925047164273e+19,-0.09683364089636814,3.1013390923567776,4.021035629585547,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.457054279496737e-105,5.992795424278762e-87,3.282914112149349e-105,0.9496275865900669,1.1846213537095529e-19,7.988367698889478e-19,1.6803426368161664e-20,700.0,800.0,1.35,109.87856922290794,147.59204110883962,191.86452719098835,251.34576730958528,28.87634299831784,37.71347188593168,44.27248608214873,103.75372620074566,59.48124011859693,0.75,350.0,2.2874867145356284,1.7029764303092332,1.3100168696602645,2.8,66.44104141395951,64.10914538374087,54.27938986489222,0.8452351430012264,0.06914784534932848,59.651909917406385,83.0263502624085,82.12641132089834,77.88780986418,55.23954602733853,26.212981962499036,5.286030351276375,23.70368751008944,26.433133938558747,36.46535084521962,88.2252510348658,88.99911804886545,31.082686119941112,8.367658865549044,9.310777087340112,12.845505791332325,31.794722269477596,57.45032949505895,77.04144780967337,baseline,2.2485834967505207,1.7488874335207238,0.6639889935349602,0.0015540479699675891,0.00011729447356963436,0.7794701800614185,0.6073715340303062,0.01274402325107406,0.0010250763570343383,0.00010269636426380699,1.0008780995761697,1.08134563957675,7.606687579200543,7.708833244179663,8.591270296353201,10.927959774162998,10.931616811311653,8.699121287633174,7.826520691981032,7.955440057731228,9.034456715601,12.952987679932805,16.335663466084977,17.672419142685982,0.0,0.090050706262732,0.008447477480607177,0.0,0.03357535998955541,0.08575488708415895,1.696298533199935,204,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00163,2.0552366547534233,0.8962158488596718,0.6467897648920424,0.47094471558168416,0.16727405488978073,0.031749786585340334,0.10978973749231548,1.9183462769502592e-07,244659.79542746692,53497802298072.11,6.438130000440931e+19,0.7307588929904905,1.3688479469416688,0.6863542561266758,1.909852043658586,1.9954935773354299,0.7654107017985443,0.0,2.768494045952692,1.154252718871442,81.99484956036308,1.1989339670129654e+19,1.28046664519032e+19,1.01860255811445e+19,-0.09936350751022416,3.1863288442758737,3.8041323968576943,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.466427769541195e-105,6.238416824622451e-87,3.4214809904690846e-105,0.9870336894173741,1.1910540500815723e-19,7.50749326466655e-19,1.5020870987223585e-20,700.0,800.0,1.35,111.53430205264118,150.0107487203503,195.97907903649883,260.265889046753,29.5394524922781,38.476446667709126,45.968330316148524,110.25514032640268,64.28681001025416,0.75,350.0,2.3335053365368665,1.7349816014313753,1.3280289423050176,2.8,66.45146992732842,64.0685427670322,54.18008049699551,0.8406880326681854,0.06883359577456709,59.59533897525133,83.22063030282912,82.2923687829193,78.0479743156315,55.437354237615025,25.92171915028593,5.14448709743012,24.03967031761691,26.80323843914846,36.92160103247756,88.71412156442564,89.48269830755807,31.49415604689209,8.48677579809252,9.451196576971533,13.034761040365986,32.122280789695935,58.46123923883042,78.00637488440795,baseline,2.203462929594352,1.7204595946891277,0.6555928332821583,0.0015253237091429808,0.00011521749209331045,0.764520498322212,0.597926809748025,0.012597396579255649,0.001008203386303366,0.00010042293920530318,1.000808822268124,1.1053870230836582,7.305396825460335,7.407759199130202,8.24272563724477,10.443665079197016,10.448352879175285,8.351012627618708,7.528073400756133,7.658507830361161,8.68792018070411,12.427767576109789,15.616033407497346,16.849037595222732,0.0,0.08645552941592868,0.003896137364892521,0.0,0.038090539251564505,0.08583200544356472,1.6349799308512991,163,TrialState.COMPLETE
baseline_v5_A_nominal_near_trial_00235,2.055856612348787,0.9038310984302346,0.6421366622755145,0.46792120403068826,0.16250208355253945,0.03419308899128021,0.10534534492709491,2.717099517404637e-07,258932.6337835806,49799364133479.266,6.372580778394693e+19,0.7315720183406191,1.4600705653127148,0.6054575202727711,1.5080945799989953,1.943124545506828,0.7745715915962631,0.0,2.8196015784227932,1.0838222479141553,82.98416239570919,1.1779137498986248e+19,1.2609828571574344e+19,9.943089612421562e+18,-0.10318782892964957,3.2769832177746787,3.5885033742939747,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.4487360666949247e-105,7.273197176759154e-87,3.980189885149347e-105,1.1541010411283046,1.1789274440030181e-19,7.990101126684188e-19,1.5035699450536533e-20,700.0,800.0,1.35,113.20414543434416,152.48266813482766,199.69353230188182,267.8906919500282,30.219983038634965,39.27852270048351,47.210864167054154,115.40802381520055,68.1971596481464,0.75,350.0,2.366438887217242,1.7568599449817792,1.3415091057884188,2.8,66.48672455952003,63.9107637705102,53.70166320621701,0.784979958964865,0.06424659407948716,59.1845208964965,83.2574299566834,82.24868211462234,77.87582871718769,54.95878331490921,25.553916345559635,5.0041105161392645,24.19850197679815,27.109693252492704,37.4714748642331,88.82933228928724,89.54438301921549,31.973728420495853,8.550149929488919,9.571747007150874,13.25377461151304,32.650066760606116,58.90552384272765,78.24222709406645,baseline,2.0422689108468908,1.5961922571683902,0.606564411163965,0.0013954490998498163,0.00010577064815551733,0.7073476725570365,0.5536832488603379,0.011612730439845346,0.0009280744411600814,9.217802914205236e-05,1.0006078384752024,1.1147652552047844,7.272504552834936,7.3833507198287,8.220297518385932,10.38429230264805,10.391264616056876,8.326615394016471,7.485072441270648,7.6258876293664555,8.658664967022462,12.37953719404483,15.539631737271558,16.753570211765144,0.0,0.08516263369263646,0.0034129307749833976,0.0,0.0418962621029311,0.08500687838895087,1.5939890234295018,235,TrialState.COMPLETE
