Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	
0	1411.674	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02852699	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	9.687053e-22	0	9.687053e-22	0	-541.0178	0	-541.0178	0	30531.45	77194.93	1	8554.591	0	0	0	0	0	0	0	0	
28	1411.674	3.45e+19	0	0	100000	1.97524691	1e-05	8.137584e+23	7.657551e+23	7.657551e+23	0	4.663953e+22	1.363803e+21	5.91192e+22	5.563178e+22	5.563178e+22	0	3.388342e+21	9.907969e+19	0.001675931	5.91192e+23	5.563178e+23	5.563178e+23	0	3.388342e+22	9.907969e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.926223e+13	14988.24	127956.6	2.143134e-08	9.8183e-16	6.952199e-24	0.01891224	0.5	4.017446e-05	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02841042	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02475309	0	1.007827e-21	0	1.007827e-21	0	-540.5531	0	-540.5531	0	30527.63	77194.93	1	8553.522	0	0	0	0	0	0	0	0	
56	1411.674	3.45e+19	0	0	100000	1.97549382	1e-05	1.627517e+24	1.532034e+24	7.508649e+23	7.811691e+23	9.277555e+22	2.707205e+21	1.182384e+23	1.113016e+23	5.455001e+22	5.67516e+22	6.740104e+21	1.966773e+20	0.001663396	1.182384e+24	1.113016e+24	5.455001e+23	5.67516e+23	6.740104e+22	1.966773e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	1.523189e+24	0	6.885648e+23	6.885648e+23	0	3.686256e+23	3.686256e+23	0	1.37713e+24	1.37713e+24	0	4.103568e+23	4.103568e+23	0	1.314533e+24	1.314533e+24	0	1.326215e+24	0	0	1.864449e+13	30910.68	355930	2.947782e-08	1.857497e-15	1.809089e-23	0.03463209	0.5	0.0001011886	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02829374	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02450618	0	1.048941e-21	0	1.048941e-21	0	-540.0839	0	-540.0839	0	30523.82	77194.93	1	8552.453	0	0	0	0	0	0	0	0	
84	1411.674	3.45e+19	0	0	100000	1.97574073	1e-05	2.441275e+24	2.285374e+24	1.115778e+24	1.169597e+24	1.514914e+23	4.409746e+21	1.773576e+23	1.660314e+23	8.106076e+22	8.497069e+22	1.100578e+22	3.203661e+20	0.001806329	1.773576e+24	1.660314e+24	8.106076e+23	8.497069e+23	1.100578e+23	3.203661e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	2.284783e+24	0	1.032847e+24	1.032847e+24	0	5.529384e+23	5.529384e+23	0	2.065694e+24	2.065694e+24	0	6.155352e+23	6.155352e+23	0	1.971799e+24	1.971799e+24	0	1.326291e+24	2.180961e-10	5.763297e-05	1.801535e+13	52300.9	680459	3.630709e-08	2.817865e-15	3.380244e-23	0.05076483	0.5	0.0001826888	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02817698	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02425927	0	1.092171e-21	0	1.092171e-21	0	-539.6099	0	-539.6099	0	30520	77194.93	1	8551.385	0	0	0	0	0	0	0	0	
112	1411.674	3.45e+19	0	0	100000	1.97598764	1e-05	3.255034e+24	3.035667e+24	1.243991e+24	1.791676e+24	2.131758e+23	6.191034e+21	2.364768e+23	2.205399e+23	9.037543e+22	1.301645e+23	1.548713e+22	4.49776e+20	0.001901988	2.364768e+24	2.205399e+24	9.037543e+23	1.301645e+24	1.548713e+23	4.49776e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	3.046378e+24	0	1.37713e+24	1.37713e+24	0	7.372512e+23	7.372512e+23	0	2.754259e+24	2.754259e+24	0	8.207136e+23	8.207136e+23	0	2.629066e+24	2.629066e+24	0	8.960845e+23	2.843412e-10	8.628928e-05	1.741015e+13	75991.91	1084029	4.218751e-08	3.804567e-15	5.303048e-23	0.06623808	0.5	0.0002769806	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02806016	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02401236	0	1.137649e-21	0	1.137649e-21	0	-539.131	0	-539.131	0	30516.19	77194.93	1	8550.316	0	0	0	0	0	0	0	0	
140	1411.674	3.45e+19	0	0	100000	1.97623455	1e-05	4.068792e+24	3.76708e+24	1.873478e+24	1.893602e+24	2.932188e+23	8.493544e+21	2.95596e+23	2.736767e+23	1.361074e+23	1.375694e+23	2.130222e+22	6.170523e+20	0.002087485	2.95596e+24	2.736767e+24	1.361074e+24	1.375694e+24	2.130222e+23	6.170523e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	3.807972e+24	0	1.721412e+24	1.721412e+24	0	9.21564e+23	9.21564e+23	0	3.442824e+24	3.442824e+24	0	1.025892e+24	1.025892e+24	0	3.286332e+24	3.286332e+24	0	8.044644e+23	3.400139e-10	0.0001324603	1.678535e+13	108265.2	1595376	4.790643e-08	4.905972e-15	7.765248e-23	0.08234844	0.5	0.0003910271	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02794332	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02376545	0	1.185516e-21	0	1.185516e-21	0	-538.6473	0	-538.6473	0	30512.38	77194.93	1	8549.248	0	0	0	0	0	0	0	0	
168	1411.674	3.45e+19	0	0	100000	1.97648146	1e-05	4.88255e+24	4.488286e+24	2.328622e+24	2.159663e+24	3.831913e+23	1.107358e+22	3.547152e+23	3.26072e+23	1.691734e+23	1.568986e+23	2.783868e+22	8.044909e+20	0.002267991	3.547152e+24	3.26072e+24	1.691734e+24	1.568986e+24	2.783868e+23	8.044909e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	4.569566e+24	0	2.065694e+24	2.065694e+24	0	1.105877e+24	1.105877e+24	0	4.131389e+24	4.131389e+24	0	1.23107e+24	1.23107e+24	0	3.943598e+24	3.943598e+24	0	7.388971e+23	3.563257e-10	0.0001400277	1.6157e+13	146859.6	2220376	5.341697e-08	6.099523e-15	1.076494e-22	0.09854998	0.5	0.0005217873	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02782648	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02351854	0	1.235924e-21	0	1.235924e-21	0	-538.1586	0	-538.1586	0	30508.57	77194.93	1	8548.18	0	0	0	0	0	0	0	0	
196	1411.674	3.45e+19	0	0	100000	1.97672837	1e-05	5.696309e+24	5.199863e+24	2.801431e+24	2.398432e+24	4.825276e+23	1.391811e+22	4.138344e+23	3.777678e+23	2.035228e+23	1.742451e+23	3.505542e+22	1.011145e+21	0.002443356	4.138344e+24	3.777678e+24	2.035228e+24	1.742451e+24	3.505542e+23	1.011145e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	5.331161e+24	0	2.409977e+24	2.409977e+24	0	1.29019e+24	1.29019e+24	0	4.819954e+24	4.819954e+24	0	1.436249e+24	1.436249e+24	0	4.600865e+24	4.600865e+24	0	7.210336e+23	3.75355e-10	0.0001597242	1.553083e+13	192283.2	2968027	5.878123e-08	7.386092e-15	1.434465e-22	0.1147122	0.5	0.0006683529	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02770967	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02327163	0	1.289037e-21	0	1.289037e-21	0	-537.6648	0	-537.6648	0	30504.76	77194.93	1	8547.113	0	0	0	0	0	0	0	0	
224	1411.674	3.45e+19	0	0	100000	1.97697528	1e-05	6.510067e+24	5.904319e+24	3.209236e+24	2.695083e+24	5.887802e+23	1.696817e+22	4.729536e+23	4.289462e+23	2.331496e+23	1.957966e+23	4.277463e+22	1.23273e+21	0.002606451	4.729536e+24	4.289462e+24	2.331496e+24	1.957966e+24	4.277463e+23	1.23273e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	6.092755e+24	0	2.754259e+24	2.754259e+24	0	1.474502e+24	1.474502e+24	0	5.508518e+24	5.508518e+24	0	1.641427e+24	1.641427e+24	0	5.258131e+24	5.258131e+24	0	7.012272e+23	3.9234e-10	0.0001773925	1.491305e+13	244254.3	3846028	6.402087e-08	8.761542e-15	1.853269e-22	0.1306613	0.5	0.000829137	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02759293	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02302472	0	1.345031e-21	0	1.345031e-21	0	-537.1657	0	-537.1657	0	30500.95	77194.93	1	8546.045	0	0	0	0	0	0	0	0	
252	1411.674	3.45e+19	0	0	100000	1.97722219	1e-05	7.323826e+24	6.601729e+24	3.627244e+24	2.974485e+24	7.018492e+23	2.024695e+22	5.320728e+23	4.796128e+23	2.635177e+23	2.160951e+23	5.098905e+22	1.470932e+21	0.002764531	5.320728e+24	4.796128e+24	2.635177e+24	2.160951e+24	5.098905e+23	1.470932e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	6.85435e+24	0	3.098542e+24	3.098542e+24	0	1.658815e+24	1.658815e+24	0	6.197083e+24	6.197083e+24	0	1.846606e+24	1.846606e+24	0	5.915398e+24	5.915398e+24	0	6.842121e+23	4.112496e-10	0.0001993407	1.430586e+13	303439.2	4865610	6.917886e-08	1.02302e-14	2.338267e-22	0.1463518	0.5	0.001003528	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02747627	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02277781	0	1.404095e-21	0	1.404095e-21	0	-536.6613	0	-536.6613	0	30497.14	77194.93	1	8544.978	0	0	0	0	0	0	0	0	
