Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Ba3MoO6) (/)	JOG (Ba2MoO5) (/)	JOG (other phases) (/)	
0	2003	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03121663	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	7.837172e-13	0	7.837172e-13	0	-426.0665	0	-426.0665	0	30531.45	77194.93	0.001	8554.591	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2003	3.45e+19	0	0	100000	1.9746	1.010662e-05	7.331149e+21	6.929997e+21	6.929997e+21	0	3.886573e+20	1.249466e+19	5.326049e+20	5.034614e+20	5.034614e+20	0	2.823579e+19	9.077319e+17	0.001704325	8.992607e+20	0	0	0	8.712515e+20	2.800923e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.996359e+13	218.2411	953.0519	4.621452e-09	4.565563e-17	6.971227e-26	0.00091145	0.5	4.131074e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03114692	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0254	0	7.49101e-13	0	7.49101e-13	0	-426.8188	0	-426.8188	0	30537.63	77194.93	0.001	8556.325	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2003	3.45e+19	0	0	100000	1.9742	1.021164e-05	1.46623e+22	1.413578e+22	2.583241e+20	1.387745e+22	5.101295e+20	1.63908e+19	1.06521e+21	1.026958e+21	1.876713e+19	1.008191e+21	3.706069e+19	1.190784e+18	0.001117887	1.798521e+21	0	0	0	1.635702e+21	5.252843e+19	1.102912e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	3.219873e+15	1.37224e+22	6.20328e+21	7.718831e+17	6.202508e+21	3.320948e+21	2.582857e+11	3.320948e+21	1.240656e+22	6.149542e+11	1.240656e+22	3.696904e+21	1.805368e+12	3.696904e+21	1.184263e+22	6.318858e+17	1.184199e+22	1.047495e+24	0	0	1.993879e+13	374.452	2374.405	5.994366e-09	7.681109e-17	1.521261e-25	0.00153152	0.5	8.911038e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03107746	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0258	0	7.163026e-13	0	7.163026e-13	0	-427.5644	0	-427.5644	0	30543.82	77194.93	0.01645957	8558.059	1.006493	0.09008425	5.996886	5.021084	1	2	0	0	3.240367e-07	0	0	0	
0.756756	2003	3.45e+19	0	0	100000	1.9738	1.03151e-05	2.199345e+22	2.133975e+22	2.689273e+20	2.107082e+22	6.333633e+20	2.033435e+19	1.597815e+21	1.550324e+21	1.953745e+19	1.530786e+21	4.601357e+19	1.477282e+18	0.0009245639	2.697782e+21	0	0	0	2.453993e+21	7.871422e+19	1.650748e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	4.41589e+15	2.058361e+22	9.30492e+21	1.177233e+18	9.303743e+21	4.981422e+21	3.858171e+11	4.981422e+21	1.860984e+22	9.176621e+11	1.860984e+22	5.545357e+21	2.690294e+12	5.545357e+21	1.776394e+22	9.426248e+17	1.7763e+22	1.198468e+24	4.952342e-11	6.09743e-07	1.991349e+13	543.815	4270.754	7.130999e-09	1.087022e-16	2.561091e-25	0.002164639	0.5	1.48327e-06	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03100825	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0262	0	6.852097e-13	0	6.852097e-13	0	-428.3034	0	-428.3034	0	30550.01	77194.93	0.02457498	8559.793	1.00772	0.08897424	5.996682	5.083716	1	2	0	0	4.848479e-07	0	0	0	
1.009008	2003	3.45e+19	0	0	100000	1.9734	1.041706e-05	2.93246e+22	2.854257e+22	2.809974e+20	2.826157e+22	7.577228e+20	2.430479e+19	2.130419e+21	2.073606e+21	2.041434e+19	2.053191e+21	5.504823e+19	1.765733e+18	0.0008288192	3.597043e+21	0	0	0	3.272558e+21	1.048486e+20	2.196365e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	5.395777e+15	2.744481e+22	1.240656e+22	1.598168e+18	1.240496e+22	6.641896e+21	5.131024e+11	6.641896e+21	2.481312e+22	1.219187e+12	2.481312e+22	7.393809e+21	3.56935e+12	7.393809e+21	2.368525e+22	1.251954e+18	2.3684e+22	1.20164e+24	5.68796e-11	9.262591e-07	1.988818e+13	717.0824	6566.948	8.112193e-09	1.406741e-16	3.770412e-25	0.002797752	0.5	2.159534e-06	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03093928	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0266	0	6.557182e-13	0	6.557182e-13	0	-429.036	0	-429.036	0	30556.21	77194.93	0.03261588	8561.529	1.008932	0.08787706	5.996468	5.14718	1	2	0	0	6.448746e-07	0	0	0	
1.26126	2003	3.45e+19	0	0	100000	1.973	1.051756e-05	3.665575e+22	3.574112e+22	3.461209e+20	3.5395e+22	8.862295e+20	2.839824e+19	2.663024e+21	2.596577e+21	2.514554e+19	2.571432e+21	6.43842e+19	2.06312e+18	0.0007747281	4.496304e+21	0	0	0	4.091383e+21	1.309314e+20	2.739896e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	6.191968e+15	3.430601e+22	1.55082e+22	2.035737e+18	1.550616e+22	8.30237e+21	6.404068e+11	8.30237e+21	3.10164e+22	1.520172e+12	3.10164e+22	9.242261e+21	4.444485e+12	9.242261e+21	2.960656e+22	1.56054e+18	2.9605e+22	1.193525e+24	6.289698e-11	1.243969e-06	1.986277e+13	894.8135	9230.752	8.992828e-09	1.728741e-16	5.136447e-25	0.003433759	0.5	2.910106e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03087056	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.027	0	6.277316e-13	0	6.277316e-13	0	-429.7624	0	-429.7624	0	30562.4	77194.93	0.04058358	8563.265	1.010131	0.08679259	5.996241	5.211486	1	2	0	0	8.041319e-07	0	0	0	
1.513512	2003	3.45e+19	0	0	100000	1.9726	1.061665e-05	4.39869e+22	4.293545e+22	4.140795e+20	4.252137e+22	1.018838e+21	3.261266e+19	3.195629e+21	3.119242e+21	3.00827e+19	3.089159e+21	7.401812e+19	2.369296e+18	0.0007414177	5.395564e+21	0	0	0	4.910455e+21	1.569624e+20	3.281466e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	6.829722e+15	4.116722e+22	1.860984e+22	2.490195e+18	1.860735e+22	9.962844e+21	7.677284e+11	9.962844e+21	3.721968e+22	1.820624e+12	3.721968e+22	1.109071e+22	5.315777e+12	1.109071e+22	3.552788e+22	1.868394e+18	3.552601e+22	1.182347e+24	6.801272e-11	1.558131e-06	1.983716e+13	1076.979	12245.46	9.802408e-09	2.054012e-16	6.652306e-25	0.004074576	0.5	3.728939e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03080209	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0274	0	6.011601e-13	0	6.011601e-13	0	-430.4827	0	-430.4827	0	30568.6	77194.93	0.04847929	8565.002	1.011316	0.08572046	5.996002	5.276657	1	2	0	0	9.626339e-07	0	0	0	
1.765764	2003	3.45e+19	0	0	100000	1.9722	1.071438e-05	5.131805e+22	5.012566e+22	4.836348e+20	4.964203e+22	1.155439e+21	3.694408e+19	3.728234e+21	3.641608e+21	3.513586e+19	3.606472e+21	8.394216e+19	2.683972e+18	0.0007199043	6.294825e+21	0	0	0	5.729764e+21	1.829414e+20	3.821192e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	7.33111e+15	4.802842e+22	2.171148e+22	2.961795e+18	2.170852e+22	1.162332e+22	8.950653e+11	1.162332e+22	4.342296e+22	2.120552e+12	4.342296e+22	1.293917e+22	6.183301e+12	1.293917e+22	4.144919e+22	2.175528e+18	4.144702e+22	1.171098e+24	7.253357e-11	1.871971e-06	1.98113e+13	1263.541	15602.06	1.055884e-08	2.383252e-16	8.314244e-25	0.004721533	0.5	4.612007e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03073386	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0278	0	5.759203e-13	0	5.759203e-13	0	-431.1969	0	-431.1969	0	30574.8	77194.93	0.05630425	8566.739	1.012488	0.08466053	5.995749	5.34271	1	2	0	0	1.120395e-06	0	0	0	
2.018016	2003	3.45e+19	0	0	100000	1.9718	1.081078e-05	5.86492e+22	5.731192e+22	5.539996e+20	5.675792e+22	1.29589e+21	4.138738e+19	4.260839e+21	4.163686e+21	4.024783e+19	4.123439e+21	9.414582e+19	3.006776e+18	0.0007056769	7.194086e+21	0	0	0	6.549299e+21	2.088683e+20	4.359183e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	7.715253e+15	5.488962e+22	2.481312e+22	3.450798e+18	2.480967e+22	1.328379e+22	1.022416e+12	1.328379e+22	4.962624e+22	2.419961e+12	4.962624e+22	1.478762e+22	7.047133e+12	1.478762e+22	4.73705e+22	2.481953e+18	4.736802e+22	1.160654e+24	7.660496e-11	2.185558e-06	1.978517e+13	1454.456	19295.66	1.127383e-08	2.716943e-16	1.012019e-24	0.005375518	0.5	5.556387e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03066587	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0282	0	5.519346e-13	0	5.519346e-13	0	-431.9053	0	-431.9053	0	30581.01	77194.93	0.06405961	8568.477	1.013646	0.08361248	5.995482	5.409668	1	2	0	0	1.277428e-06	0	0	0	
2.270268	2003	3.45e+19	0	0	100000	1.9714	1.09059e-05	6.598034e+22	6.449437e+22	6.248053e+20	6.386957e+22	1.440034e+21	4.593715e+19	4.793444e+21	4.685489e+21	4.539184e+19	4.640097e+21	1.046178e+20	3.337314e+18	0.0006962248	8.093346e+21	0	0	0	7.36905e+21	2.347429e+20	4.89554e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	7.998869e+15	6.175083e+22	2.791476e+22	3.957461e+18	2.79108e+22	1.494427e+22	1.149778e+12	1.494427e+22	5.582952e+22	2.718861e+12	5.582952e+22	1.663607e+22	7.907346e+12	1.663607e+22	5.329182e+22	2.787682e+18	5.328903e+22	1.151183e+24	8.032318e-11	2.498938e-06	1.975873e+13	1649.68	23323.75	1.195547e-08	3.055417e-16	1.206906e-24	0.006037116	0.5	6.559827e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03059813	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0286	0	5.291306e-13	0	5.291306e-13	0	-432.608	0	-432.608	0	30587.21	77194.93	0.07174652	8570.216	1.014792	0.08257612	5.995201	5.477551	1	2	0	0	1.433747e-06	0	0	0	
